2001      3 20  13 31     6 21  07 38     9 22  23 05     12 21  19 22
2002      3 20  19 16     6 21  13 25     9 23  04 56     12 22  01 15
2003      3 21  01 00     6 21  19 11     9 23  10 47     12 22  07 04
2004      3 20  06 49     6 21  00 57     9 22  16 30     12 21  12 42
2005      3 20  12 34     6 21  06 46     9 22  22 23     12 21  18 35
2006      3 20  18 25     6 21  12 26     9 23  04 04     12 22  00 22
2007      3 21  00 07     6 21  18 06     9 23  09 51     12 22  06 08
2008      3 20  05 49     6 21  00 00     9 22  15 45     12 21  12 04
2009      3 20  11 44     6 21  05 45     9 22  21 18     12 21  17 47
2010      3 20  17 32     6 21  11 28     9 23  03 09     12 21  23 38

2011      3 20  23 21     6 21  17 16     9 23  09 05     12 22  05 30
2012      3 20  05 15     6 20  23 08     9 22  14 49     12 21  11 12
2013      3 20  11 02     6 21  05 04     9 23  20 44     12 21  17 11
2014      3 20  16 57     6 21  10 52     9 23  02 30     12 21  23 03
2015      3 20  22 45     6 21  16 38     9 23  08 20     12 22  04 48
2016      3 20  04 31     6 20  22 35     9 22  14 21     12 21  10 45
2017      3 20  10 29     6 21  04 25     9 22  20 02     12 21  16 29
2018      3 20  16 15     6 21  10 07     9 23  01 54     12 21  22 22
2019      3 20  21 58     6 21  15 54     9 23  07 50     12 22  04 19
2020      3 20  03 50     6 20  21 43     9 22  13 31     12 21  10 03

2021      3 20  09 37     6 21  03 32     9 22  19 21     12 21  15 59
2022      3 20  15 33     6 21  09 14     9 23  01 04     12 21  21 48
2023      3 20  21 25     6 21  14 58     9 23  06 50     12 22  03 28
2024      3 20  03 07     6 20  20 51     9 22  12 44     12 21  09 20
2025      3 20  09 02     6 21  02 42     9 22  18 20     12 21  15 03
2026      3 20  14 46     6 21  08 25     9 23  00 06     12 21  20 50
2027      3 20  20 25     6 21  14 11     9 23  06 02     12 22  02 43
2028      3 20  02 17     6 20  20 02     9 22  11 45     12 21  08 20
2029      3 20  08 01     6 21  01 48     9 22  17 37     12 21  14 14
2030      3 20  13 51     6 21  07 31     9 22  23 27     12 21  20 09

2031      3 20  19 41     6 21  13 17     9 23  05 15     12 22  01 56
2032      3 20  01 23     6 20  19 09     9 22  11 11     12 21  07 57
2033      3 20  07 23     6 21  01 01     9 22  16 52     12 21  13 45
2034      3 20  13 18     6 21  06 45     9 22  22 41     12 21  19 35
2035      3 20  19 03     6 21  12 33     9 23  04 39     12 22  01 31
2036      3 20  01 02     6 20  18 31     9 22  10 23     12 21  07 12
2037      3 20  06 50     6 21  00 22     9 22  16 13     12 21  13 08
2038      3 20  12 40     6 21  06 09     9 22  22 02     12 21  19 01
2039      3 20  18 32     6 21  11 58     9 23  03 50     12 22  00 41
2040      3 20  00 11     6 20  17 46     9 22  09 44     12 21  06 33

2041      3 20  06 07     6 20  23 37     9 22  15 27     12 21  12 19
2042      3 20  11 53     6 21  05 16     9 22  21 11     12 21  18 04
2043      3 20  17 29     6 21  10 59     9 23  03 07     12 22  00 02
2044      3 19  23 20     6 20  16 50     9 22  08 47     12 21  05 43
2045      3 20  05 08     6 20  22 34     9 22  14 33     12 21  11 36
2046      3 20  10 58     6 21  04 15     9 22  20 22     12 21  17 28
2047      3 20  16 52     6 21  10 02     9 23  02 07     12 21  23 07
2048      3 19  22 34     6 20  15 54     9 22  08 01     12 21  05 02
2049      3 20  04 28     6 20  21 47     9 22  13 42     12 21  10 51
2050      3 20  10 20     6 21  03 33     9 22  19 29     12 21  16 39

2051      3 20  15 58     6 21  09 17     9 23  01 26     12 21  22 33
2052      3 19  21 56     6 20  15 16     9 22  07 16     12 21  04 18
2053      3 20  03 46     6 20  21 03     9 22  13 05     12 21  10 09
2054      3 20  09 35     6 21  02 47     9 22  19 00     12 21  16 10
2055      3 20  15 28     6 21  08 39     9 23  00 48     12 21  21 56
2056      3 19  21 11     6 20  14 29     9 22  06 40     12 21  03 52
2057      3 20  03 08     6 20  20 19     9 22  12 23     12 21  09 42
2058      3 20  09 04     6 21  02 03     9 22  18 07     12 21  15 24
2059      3 20  14 44     6 21  07 47     9 23  00 03     12 21  21 18
2060      3 19  20 37     6 20  13 44     9 22  05 47     12 21  03 00

2061      3 20  02 26     6 20  19 33     9 22  11 31     12 21  08 49
2062      3 20  08 07     6 21  01 10     9 22  17 19     12 21  14 42
2063      3 20  13 59     6 21  07 02     9 22  23 08     12 21  20 22
2064      3 19  19 40     6 20  12 47     9 22  04 58     12 21  02 10
2065      3 20  01 27     6 20  18 31     9 22  10 41     12 21  07 59
2066      3 20  07 19     6 21  00 16     9 22  16 27     12 21  13 45
2067      3 20  12 55     6 21  05 56     9 22  22 20     12 21  19 44
2068      3 19  18 51     6 20  11 55     9 22  04 09     12 21  01 34
2069      3 20  00 44     6 20  17 40     9 22  09 51     12 21  07 21
2070      3 20  06 35     6 20  23 22     9 22  15 45     12 21  13 19

2071      3 20  12 36     6 21  05 21     9 22  21 39     12 21  19 05
2072      3 19  18 19     6 20  11 12     9 22  03 26     12 21  00 54
2073      3 20  00 12     6 20  17 06     9 22  09 14     12 21  06 50
2074      3 20  06 09     6 20  22 59     9 22  15 04     12 21  12 36
2075      3 20  11 48     6 21  04 41     9 22  21 00     12 21  18 28
2076      3 19  17 37     6 20  10 35     9 22  02 48     12 21  00 12
2077      3 19  23 30     6 20  16 23     9 22  08 35     12 21  06 00
2078      3 20  05 11     6 20  21 58     9 22  14 25     12 21  11 59
2079      3 20  11 03     6 21  03 51     9 22  20 15     12 21  17 46
